,cue,association,explanation,relation,source
438,climber,mountain,the climber got to the top of the mountain .,location,original
439,clock,wall,a clock can hang on a wall,location,original
440,clocks,wall,clocks sometimes hang on the wall .,location,original
441,clock,walls,most walls have a clock on them .,location,original
442,clock,alarm,i set a alarm in the clock,function,original
443,clock,watch,i saw a watch it was round clock,members-of-the-same-category,original
444,closed,open,a door can be open or closed .,antonym,original
445,closer,farther,closer is the opposite of farther .,antonym,original
446,closer,nearer,closer is a synonym for nearer .,synonym,original
447,clothing,dress,dress and dresses are part of clothing accessories .,partof,original
448,coffee,caffeine,the caffeine in the coffee made my stomach hurt .,partof,original
449,commander,boss,commander has a similar meaning as boss .,synonym,original
450,comment,opinion,comment is the synonym of the opinion,synonym,original
451,commitment,relationship,commitment is an important part of a relationship .,partof,original
452,community,church,the local church in the community needed help fixing its roof .,location,original
453,community,people,people are part of a community .,partof,original
454,community,town,a community is part of a town .,partof,original
455,comrade,family,a comrade is a person that is part of the family .,partof,original
456,conceited,egotistical,conceited has a similar meaning as egotistical .,synonym,original
457,confused,befuddled,confused is a synonym for befuddled .,synonym,original
458,conundrum,riddle,a riddle is a type of conundrum .,category-exemplar-pairs,original
459,conundrum,problem,conundrum is a synonym for problem .,synonym,original
460,cordial,friendly,cordial has a similar meaning as friendly .,synonym,original
461,corner,square,the corner is based to the part of square .,partof,original
462,cornucopia,profusion,cornucopia is also defined as the profusion,synonym,original
463,corny,banal,corny has a similar meaning as banal .,synonym,original
464,corny,vapid,corny has a similar meaning to vapid .,synonym,original
465,correct,right,correct is a synonym for right .,synonym,original
466,cotton,cloth,my cloth is mostly made of cotton .,material-madeof,original
467,counseled,therapy,"when you seek therapy , you need to be counseled .",has-prerequisite,original
468,counterfeit,false,counterfeit is a synonym for false .,synonym,original
469,cowgirl,western,a cowgirl would usually be found in the western part of the us .,location,original
470,cream,colour,cream is a type of colour .,category-exemplar-pairs,original
471,cream,desserts,desserts often feature some type of cream .,category-exemplar-pairs,original
472,credit,income,credit needs to be established with income .,has-prerequisite,original
473,critical,reproving,critical has a similar meaning as reproving .,synonym,original
474,critical,scathing,critical has a similar meaning as scathing .,synonym,original
475,crush,press,crush has a similar meaning as press .,synonym,original
476,cry,sadness,when you are full of sadness sometimes you just need to cry .,has-prerequisite,original
477,cry,weep,cry has a similar meaning as weep .,synonym,original
478,crystal,chandeliers,there are many fancy chandeliers made of crystal .,material-madeof,original
479,danger,threat,"sometimes , a threat can be a type of danger .",category-exemplar-pairs,original
480,darkness,vampires,vampires like living in the darkness,location,original
481,decision,outcome,a decision is another word for an outcome .,synonym,original
482,decor,outlined,decor needs to be outlined to start with .,has-prerequisite,original
483,decor,ornament,an ornament is part of the decor of a home,partof,original
484,decor,furnishing,decor has a similar meaning as furnishing .,synonym,original
485,decor,look,decor has a similar meaning as look .,synonym,original
486,defense,offense,the defense is the opposite of the offense .,antonym,original
487,defense,offense,the opposite of defense is offense .,antonym,original
488,delicious,mouthwatering,delicious has a similar meaning as mouthwatering .,synonym,original
489,delicious,tasty,delicious has a similar meaning as tasty .,synonym,original
490,design,plan,plan is the another word of design,synonym,original
491,diagram,drawing,a diagram is a type of drawing,category-exemplar-pairs,original
492,diagram,picture,a diagram is a type of picture,category-exemplar-pairs,original
493,difference,change,"to make a difference , you first need to make a change within .",has-prerequisite,original
494,different,dissimilar,"if two things are different they a not similar , or dissimilar",synonym,original
495,discussion,argument,an argument is a part of a discussion .,partof,original
496,dismiss,terminate,dismiss is the synonym of the terminate,synonym,original
497,doctor,surgeon,a surgeon is a type of doctor .,category-exemplar-pairs,original
498,doctor,clinician,doctor has a similar meaning as clinician .,synonym,original
499,domestic,family,your household and family are part of your domestic responsibilities .,partof,original
500,domestic,foreign,something is either foreign or domestic .,antonym,original
